AÑO	 CIIU	Descripción	Personas trabajadoras con cobertura (promedio)	Total de casos notificados	Casos con días de baja y secuelas incapacitantes	Personas trabajadoras fallecidas	Índice de incidencia [1]	Índice de incidencia de casos mortales [2]
2019	421	Construcción, reforma y reparación de obras de infraestructura para el transporte	70.245	7.227	6.708	15	95,5	213,5
2019	422	Construcción de proyectos de servicios públicos	43.355	5.028	4.812	8	111	184,5
2019	429	Construcción de obras de ingeniería civil n.c.p.	44.426	5.100	4.861	6	109,4	135,1
2019	431	Demolición, movimiento y preparación de terrenos para obras	17.612	1.921	1.826	2	103,7	113,6
2019	432	Instalaciones para edificios y obras de ingeniería civil	42.148	4.774	4.539	4	107,7	94,9
2019	433	Terminación de edificios	9.451	1.071	1.012	2	107,1	211,6
2019	439	Alquiler de equipo de construcción o demolición dotado de operarios y actividades especializadas de construcción n.c.p.	15.288	1.817	1.667	3	109	196,2
2019	451	Venta de vehículos automotores, excepto motocicletas	50.198	2.523	2.369	2	47,2	39,8
2019	452	Mantenimiento y reparación de vehículos automotores, excepto motocicletas	22.072	1.885	1.749	4	79,2	181,2
2019	453	Venta de partes, piezas y accesorios de vehículos automotores	35.780	1.951	1.799	2	50,3	55,9
2019	454	Venta, mantenimiento y reparación de motocicletas y de sus partes, piezas y accesorios	3.873	177	170	1	43,9	258,2
2019	461	Venta al por mayor en comisión o consignación	85.870	4.995	4.713	15	54,9	174,7
2019	462	Venta al por mayor de materias primas agropecuarias y de animales vivos	7.865	524	490	0	62,3	0
2019	463	Venta al por mayor de alimentos, bebidas y tabaco	94.426	7.015	6.735	9	71,3	95,3
2019	464	Venta al por mayor de artículos de uso doméstico y/o personal	94.256	3.674	3.505	8	37,2	84,9
2019	465	Venta al por mayor de máquinas, equipo y materiales conexos	36.962	1.337	1.278	1	34,6	27,1
2019	466	Venta al por mayor especializada	51.129	3.343	3.123	5	61,1	97,8
2019	469	Venta al por mayor de mercancías n.c.p.	12.633	622	605	1	47,9	79,2
2019	471	Venta al por menor en comercios no especializados	173.093	12.631	12.238	6	70,7	34,7
2019	472	Venta al por menor de productos alimenticios, bebidas y tabaco en comercios especializados	79.679	4.900	4.747	4	59,6	50,2
2019	473	Venta al por menor de combustible para vehículos automotores y motocicletas	65.805	2.951	2.832	1	43	15,2
2019	474	"Venta al por menor de equipos, periféricos, accesorios y programas informáticos; equipos de telecomunicaciones en comercios especializados"	13.703	422	395	0	28,8	0
2019	475	Venta al por menor de equipos de uso doméstico n.c.p. en comercios especializados	101.358	5.831	5.532	6	54,6	59,2
2019	476	Venta al por menor de bienes culturales y recreativos en comercios especializados	29.729	1.037	1.003	0	33,7	0
2019	477	Venta al por menor de productos n.c.p., en comercios especializados	174.220	5.659	5.359	6	30,8	34,4
2019	478	Venta al por menor en puestos móviles y mercados	765	36	36	0	47,1	0
2019	479	Venta al por menor no realizada en comercios, puestos o mercados	3.773	96	93	0	24,6	0
2019	491	Servicio de transporte ferroviario	12.953	1.330	1.252	0	96,7	0
2019	492	Servicio de transporte automotor	290.697	23.212	21.942	53	75,5	182,3
2019	493	Servicio de transporte por tuberías	2.185	33	29	1	13,3	457,8
2019	501	Servicio de transporte marítimo	4.332	201	181	0	41,8	0
2019	502	Servicio de transporte fluvial y lacustre	2.751	165	155	1	56,3	363,5
2019	511	Servicio de transporte aéreo de pasajeros	17.848	813	728	0	40,8	0
2019	512	Servicio de transporte aéreo de cargas	529	14	13	0	24,6	0
2019	521	Servicios de manipulación de cargas	20.454	1.151	1.102	0	53,9	0
2019	522	Servicios de almacenamiento y depósito	41.231	2.679	2.522	1	61,2	24,3
2019	523	Servicios de gestión y logística para el transporte de mercaderías	31.660	2.416	2.319	3	73,2	94,8
2019	524	Servicios complementarios para el transporte	56.822	5.583	5.373	11	94,6	193,6
